epoch,loss,lr,mae,mape,val_loss,val_mae,val_mape
0,0.0005568118067458272,0.001,0.01592271216213703,14.845809936523438,0.00020252347167115659,0.01006116159260273,7.4568634033203125
1,0.00015684515528846532,0.001,0.009895678609609604,9.18072509765625,8.470650209346786e-05,0.0072332629933953285,5.561927795410156
2,0.00011635605187620968,0.001,0.008532424457371235,7.944238662719727,0.00013976270565763116,0.01067961473017931,8.441451072692871
3,8.401144441450015e-05,0.001,0.007232304196804762,6.754292964935303,4.792529216501862e-05,0.005667762365192175,4.395140647888184
4,6.88942163833417e-05,0.001,0.006633006501942873,6.210291862487793,1.2924342627229635e-05,0.002582190092653036,2.020146369934082
5,4.734591129818e-05,0.0005,0.0054769436828792095,5.120011806488037,8.325171620526817e-06,0.0020516819786280394,1.6317030191421509
6,4.3321379052940756e-05,0.0005,0.005174660123884678,4.841355323791504,1.8563096091384068e-05,0.0033128520008176565,2.6025681495666504
7,4.265618190402165e-05,0.0005,0.005138425622135401,4.801901340484619,2.305097586940974e-05,0.003756229067221284,2.930967330932617
8,3.563726204447448e-05,0.00025,0.004619296174496412,4.304815769195557,2.0854897229583003e-05,0.0036574862897396088,2.9039974212646484
9,3.292141991551034e-05,0.00025,0.004501380492001772,4.187558650970459,1.9628390873549506e-05,0.0035798298195004463,2.8763794898986816
10,3.136290979455225e-05,0.00025,0.004331408068537712,4.02262544631958,1.5915162293822505e-05,0.0030315970070660114,2.394602060317993
