epoch,learning_rate,loss,mae,mape,val_loss,val_mae,val_mape
0,0.0010000000474974513,0.021819699555635452,0.1468735784292221,102.14624786376953,0.0042998576536774635,0.06556355953216553,47.08160400390625
1,0.0010000000474974513,0.004239893052726984,0.06294812262058258,43.73920822143555,0.0004840836045332253,0.021967237815260887,15.783594131469727
2,0.0010000000474974513,0.000715484085958451,0.023462370038032532,16.365158081054688,0.004532200749963522,0.06730911135673523,48.34843444824219
3,0.0010000000474974513,0.003963905852288008,0.06289444863796234,43.78805160522461,0.0023806695826351643,0.04877524822950363,35.037357330322266
4,0.0010000000474974513,0.001850660308264196,0.04247206822037697,29.584537506103516,0.00023595229140482843,0.015309984795749187,11.002435684204102
5,0.0010000000474974513,0.00011643774632830173,0.010016237385571003,6.984686374664307,0.0001302114105783403,0.011345595121383667,8.141745567321777
6,0.0010000000474974513,0.0002892586344387382,0.01653352566063404,11.479016304016113,0.0006417910335585475,0.025304924696683884,18.167415618896484
7,0.0010000000474974513,0.0008763032965362072,0.029521584510803223,20.521133422851562,0.0007410402758978307,0.027195584028959274,19.525306701660156
8,0.0010000000474974513,0.0009467419586144388,0.030671119689941406,21.318845748901367,0.000419258518377319,0.020440446212887764,14.673742294311523
0,0.0010000000474974513,0.0018714016769081354,0.033492907881736755,29.667184829711914,0.0010830977698788047,0.032496076077222824,23.24852752685547
1,0.0010000000474974513,9.625207894714549e-05,0.008093507029116154,7.2088212966918945,0.0007397005683742464,0.02667992003262043,19.04922103881836
2,0.0010000000474974513,4.3058440496679395e-05,0.005384213291108608,4.707496166229248,0.0004612527263816446,0.020826131105422974,14.827348709106445
3,0.0010000000474974513,3.0186636649887078e-05,0.00438546109944582,3.793896198272705,0.0003870158107019961,0.018972385674715042,13.491769790649414
4,0.0010000000474974513,2.8014379495289177e-05,0.004263533744961023,3.691946268081665,0.00035897307679988444,0.018231958150863647,12.959569931030273
5,0.0010000000474974513,2.7167769076186232e-05,0.0042835501953959465,3.7191343307495117,0.0003756475925911218,0.018696893006563187,13.29700756072998
6,0.0010000000474974513,2.6269355657859705e-05,0.004199565853923559,3.6430137157440186,0.0004020553606096655,0.019403668120503426,13.809060096740723
7,0.0010000000474974513,2.577401937742252e-05,0.0041660284623503685,3.620687484741211,0.0003996994928456843,0.019359754398465157,13.780117988586426
